,FEAT NUMBER,SUMMARY,Priority,STATUS,3.0 Commitment Status,Target Month,Comment,DRI ,Dev Resources required for max parallization,Dev Resources required for max parallization and 60% productivity ,Total Months Needed for 1 person by Dev (Everything from start to finish),Number of Months (Dev),"Num of QA required(rule: 3:1, 1 QA for 3 dev)","Num of QA required(rule: 3:1, 1 QA for 3 dev) with 60% productivity ",Total resources required,sizing (refer sheet 2 for guidance),Additional Resources,Sizing Comment,Dependency Numbers (Comma Separated List),DEPENDENCY,One line dependency description ,Resourcing done?,Any new software needed? 
29,ERA-43142,SMSP log management + Diag bundle collection,P0,In Progress,Committed,,,Boban Petković,2,3.333333333,4,2,1,1.666666667,5,M (3-5 months),,,,"1. ENG-795244 - MSP - Scavenger configuration for per-service retention and log file type
2. ENG-835588 - MSP - NDB DR solution for Fluentd PV where SMSP logs are persisted
3. UX/UI","1. Currently it seems there is no possibility to configure scavenger, which runs on fluentd pod as sidecar container, per service or log type. For different services, and even log types, we would like to have ability to use different retention config as not all logs are equally important. Scavenger provides this flexibility, but it seems we can't configure it via SMSP
2. NDB application runs inside the app k8s namespace ntnx-ndb on SMSP, while the SMSP-recommended logging components operate in the ntnx-system namespace. This setup raises some questions for us regarding how disaster recovery (NDK DR) should be handled. Based on our initial exploration of NDK, it appears that its unit of protection is scoped to one namespace (the application namespace). This implies that logs and application resources may not be protected as a single unit, which could pose challenges for backup and recovery scenarios.",Yes,No
,,Use objects for diagnostic bundle,P1,Not Started,Deferral Candidate,,,,2,3.333333333,2,,1,1.666666667,5,M (3-5 months),,,,1. Objects Lite feature,,No,No
,,Moving diganostic bundle to new microservice,P1,Not Started,Deferral Candidate,,"As we have more SMSP services, we need a new service to handle diagnostic bundle creation. We should extract diagnostic related logic from API server into this new microservice ",,2,3.333333333,2,,1,1.666666667,5,M (3-5 months),,,,,,,
,,Supportability service - changing log levels for SMSP services,P0,Not Started,Deferral Candidate,,A service to change log levels for all SMSP services from one place,,1,1.666666667,2,,1,1.666666667,3.333333333,S (1-3 months),,,,,,No,
30,,Tracing framework for instrumentation from new services in SMSP,P0,Not Started,Committed,,Create libraries,Boban Petković,1,1.666666667,2,2,1,1.666666667,3.333333333,S (1-3 months),,,,,,No,No
,,Collection of traces in diagnostic bundle,P1,Not Started,Deferral Candidate,,,,1,1.666666667,1,,1,1.666666667,3.333333333,XS (1 month),,,,,,No,No
31,,Collection of metrics diagnostic bundle,P0,Not Started,Committed,,,Boban Petković,1,1.666666667,1,1,1,1.666666667,3.333333333,XS (1 month),,,,,,,
32,,"Librarary for business telemetry via Pulse/CFS
",P0,Not Started,Committed,,,Boban Petković,1,1.666666667,2,2,1,1.666666667,3.333333333,S (1-3 months),,,,1. ENG-867778 - NCC - CFS (telemetry transmission mechanism) running on SMSP,"In order to send telemetry data to insights, we need pulse collection framework deployed on NDB SMSP",No,No
33,"Go Based WFs 
(Services Onboarding)

~8 people/3 months
Phase 1: Data plane rewrite",Go Based WFs (OS Service),P0,In Progress,Committed,,In Progress (with 1 resource),Omkar Pradeep Salvi,2,3.333333333,6,3,1,1.666666667,5,S (1-3 months),,,,NA,,No,
34,,Go Based WFs (DB Service),P0,In Progress,Committed,,In Progress (with 1 resource),Omkar Pradeep Salvi,2,3.333333333,6,3,1,1.666666667,5,S (1-3 months),,,,NA,,No,
35,,Go Based WFs (DB LCM Service),P0,Not Started,Committed,,,Omkar Pradeep Salvi,2,3.333333333,6,3,1,1.666666667,5,S (1-3 months),,,,NA,,No,
36,,Go Based WFs (TM Service),P0,Not Started,Committed,,,Omkar Pradeep Salvi,2,3.333333333,6,3,1,1.666666667,5,S (1-3 months),,,,NA,,No,
37,Go Based WFs - Control Plane Rewrite,V4 API structure for TM,P0,Not Started,Committed,,,,,0,,#DIV/0!,0,0,0,,,,,,,,
38,,Java to Go Business logic for TM movement.,P0,Not Started,Approved,,,,,0,,#DIV/0!,0,0,0,,,,,,,,
39,,PG to IDF migration for VMs,P0,Not Started,Approved,,,,,0,,#DIV/0!,0,0,0,,,,,,,,
40,,IDF schema for TM for VMs,P0,Not Started,Approved,,,,,0,,#DIV/0!,0,0,0,,,,,,,,
